plan_code,block_code,wk_type,workout_code,week_commencing,description,sort_order,level,interval_code,interval_order,repeat_count,work_kind,work_value,spm,recovery_kind,recovery_value,target_mode,target_value
P2026_2027,B1,Ergo,W1S1,2026-10-04,"30' @ L4 (R18–20)
Broken down into 5' intervals, alternating between R18 R20",10,L4,W1S1_1,1,1,time,300,18,,,L4,
P2026_2027,B1,Ergo,W1S1,2026-10-04,"30' @ L4 (R18–20)
Broken down into 5' intervals, alternating between R18 R20",10,L4,W1S1_2,2,1,time,300,20,,,L4,
P2026_2027,B1,Ergo,W1S1,2026-10-04,"30' @ L4 (R18–20)
Broken down into 5' intervals, alternating between R18 R20",10,L4,W1S1_3,3,1,time,300,18,,,L4,
P2026_2027,B1,Ergo,W1S1,2026-10-04,"30' @ L4 (R18–20)
Broken down into 5' intervals, alternating between R18 R20",10,L4,W1S1_4,4,1,time,300,20,,,L4,
P2026_2027,B1,Ergo,W1S1,2026-10-04,"30' @ L4 (R18–20)
Broken down into 5' intervals, alternating between R18 R20",10,L4,W1S1_5,5,1,time,300,18,,,L4,
P2026_2027,B1,Ergo,W1S1,2026-10-04,"30' @ L4 (R18–20)
Broken down into 5' intervals, alternating between R18 R20",10,L4,W1S1_6,6,1,time,300,20,,,L4,
P2026_2027,B1,Ergo,W1S2,2026-10-04,"12' @ L4 (R18–20)
4 × 2' @ L2 (2' rest)
10' @ L4 (R18–20)
Break the 12' and the 10' into 2' intervals alternating between R18 and R20",20,"L4,L2,L4",W1S2_1,1,1,time,120,18,,,L4,
P2026_2027,B1,Ergo,W1S2,2026-10-04,"12' @ L4 (R18–20)
4 × 2' @ L2 (2' rest)
10' @ L4 (R18–20)
Break the 12' and the 10' into 2' intervals alternating between R18 and R20",20,"L4,L2,L4",W1S2_2,2,1,time,120,20,,,L4,
P2026_2027,B1,Ergo,W1S2,2026-10-04,"12' @ L4 (R18–20)
4 × 2' @ L2 (2' rest)
10' @ L4 (R18–20)
Break the 12' and the 10' into 2' intervals alternating between R18 and R20",20,"L4,L2,L4",W1S2_3,3,1,time,120,18,,,L4,
P2026_2027,B1,Ergo,W1S2,2026-10-04,"12' @ L4 (R18–20)
4 × 2' @ L2 (2' rest)
10' @ L4 (R18–20)
Break the 12' and the 10' into 2' intervals alternating between R18 and R20",20,"L4,L2,L4",W1S2_4,4,1,time,120,20,,,L4,
P2026_2027,B1,Ergo,W1S2,2026-10-04,"12' @ L4 (R18–20)
4 × 2' @ L2 (2' rest)
10' @ L4 (R18–20)
Break the 12' and the 10' into 2' intervals alternating between R18 and R20",20,"L4,L2,L4",W1S2_5,5,1,time,120,18,,,L4,
P2026_2027,B1,Ergo,W1S2,2026-10-04,"12' @ L4 (R18–20)
4 × 2' @ L2 (2' rest)
10' @ L4 (R18–20)
Break the 12' and the 10' into 2' intervals alternating between R18 and R20",20,"L4,L2,L4",W1S2_6,6,1,time,120,20,,,L4,
P2026_2027,B1,Ergo,W1S2,2026-10-04,"12' @ L4 (R18–20)
4 × 2' @ L2 (2' rest)
10' @ L4 (R18–20)
Break the 12' and the 10' into 2' intervals alternating between R18 and R20",20,"L4,L2,L4",W1S2_7,7,4,time,120,,time,120,L2,
P2026_2027,B1,Ergo,W1S2,2026-10-04,"12' @ L4 (R18–20)
4 × 2' @ L2 (2' rest)
10' @ L4 (R18–20)
Break the 12' and the 10' into 2' intervals alternating between R18 and R20",20,"L4,L2,L4",W1S2_8,8,1,time,120,18,,,L4,
P2026_2027,B1,Ergo,W1S2,2026-10-04,"12' @ L4 (R18–20)
4 × 2' @ L2 (2' rest)
10' @ L4 (R18–20)
Break the 12' and the 10' into 2' intervals alternating between R18 and R20",20,"L4,L2,L4",W1S2_9,9,1,time,120,20,,,L4,
P2026_2027,B1,Ergo,W1S2,2026-10-04,"12' @ L4 (R18–20)
4 × 2' @ L2 (2' rest)
10' @ L4 (R18–20)
Break the 12' and the 10' into 2' intervals alternating between R18 and R20",20,"L4,L2,L4",W1S2_10,10,1,time,120,18,,,L4,
P2026_2027,B1,Ergo,W1S2,2026-10-04,"12' @ L4 (R18–20)
4 × 2' @ L2 (2' rest)
10' @ L4 (R18–20)
Break the 12' and the 10' into 2' intervals alternating between R18 and R20",20,"L4,L2,L4",W1S2_11,11,1,time,120,20,,,L4,
P2026_2027,B1,Ergo,W1S2,2026-10-04,"12' @ L4 (R18–20)
4 × 2' @ L2 (2' rest)
10' @ L4 (R18–20)
Break the 12' and the 10' into 2' intervals alternating between R18 and R20",20,"L4,L2,L4",W1S2_12,12,1,time,120,18,,,L4,
P2026_2027,B1,OTW,W1_OTW1,2026-10-04,8x1km @R20 (2' rest),30,,,,,,,,,,,
P2026_2027,B1,Ergo,W2S1,2026-10-11,8'–7'–6'–5'–4'–3'–2'–1' @ R18–20 (1' rest),40,L4,W2S1_1,1,1,time,480,18,time,60,L4,
P2026_2027,B1,Ergo,W2S1,2026-10-11,8'–7'–6'–5'–4'–3'–2'–1' @ R18–20 (1' rest),40,L4,W2S1_2,2,1,time,420,20,time,60,L4,
P2026_2027,B1,Ergo,W2S1,2026-10-11,8'–7'–6'–5'–4'–3'–2'–1' @ R18–20 (1' rest),40,L4,W2S1_3,3,1,time,360,18,time,60,L4,
P2026_2027,B1,Ergo,W2S1,2026-10-11,8'–7'–6'–5'–4'–3'–2'–1' @ R18–20 (1' rest),40,L4,W2S1_4,4,1,time,300,20,time,60,L4,
P2026_2027,B1,Ergo,W2S1,2026-10-11,8'–7'–6'–5'–4'–3'–2'–1' @ R18–20 (1' rest),40,L4,W2S1_5,5,1,time,240,18,time,60,L4,
P2026_2027,B1,Ergo,W2S1,2026-10-11,8'–7'–6'–5'–4'–3'–2'–1' @ R18–20 (1' rest),40,L4,W2S1_6,6,1,time,180,20,time,60,L4,
P2026_2027,B1,Ergo,W2S1,2026-10-11,8'–7'–6'–5'–4'–3'–2'–1' @ R18–20 (1' rest),40,L4,W2S1_7,7,1,time,120,18,time,60,L4,
P2026_2027,B1,Ergo,W2S1,2026-10-11,8'–7'–6'–5'–4'–3'–2'–1' @ R18–20 (1' rest),40,L4,W2S1_8,8,1,time,60,20,time,60,L4,
P2026_2027,B1,Ergo,W2S2,2026-10-11,40:15' @ L4 with 45 sec @ L2 every 5 minutes,50,"L4,L2,L4",W2S2_1,1,1,time,150,18,,,L4,
