2K Time,2K Pace,16,18,20,22,24,26
06:20,01:35,1:59,1:55,1:51,1:47,1:43,1:39
06:24,01:36,2:00,1:56,1:52,1:48,1:44,1:40
06:28,01:37,2:01,1:57,1:53,1:49,1:45,1:41
06:32,01:38,2:02,1:58,1:54,1:50,1:46,1:42
06:36,01:39,2:04,2:00,1:56,1:51,1:47,1:43
06:40,01:40,2:05,2:01,1:57,1:52,1:48,1:44
06:44,01:41,2:06,2:02,1:58,1:54,1:49,1:45
06:48,01:42,2:07,2:03,1:59,1:55,1:50,1:46
06:52,01:43,2:09,2:04,2:00,1:56,1:52,1:47
06:56,01:44,2:10,2:06,2:01,1:57,1:53,1:48
07:00,01:45,2:11,2:07,2:03,1:58,1:54,1:49
07:04,01:46,2:13,2:08,2:04,1:59,1:55,1:50
07:08,01:47,2:14,2:09,2:05,2:00,1:56,1:51
07:12,01:48,2:15,2:10,2:06,2:01,1:57,1:53
07:16,01:49,2:16,2:12,2:07,2:03,1:58,1:54
07:20,01:50,2:18,2:13,2:08,2:04,1:59,1:55
07:24,01:51,2:19,2:14,2:10,2:05,2:00,1:56
07:28,01:52,2:20,2:15,2:11,2:06,2:01,1:57
07:32,01:53,2:21,2:17,2:12,2:07,2:02,1:58
07:36,01:54,2:22,2:18,2:13,2:08,2:03,1:59
07:40,01:55,2:24,2:19,2:14,2:09,2:05,2:00
07:44,01:56,2:25,2:20,2:15,2:10,2:06,2:01
07:48,01:57,2:26,2:21,2:17,2:12,2:07,2:02
07:52,01:58,2:28,2:23,2:18,2:13,2:08,2:03
07:56,01:59,2:29,2:24,2:19,2:14,2:09,2:04
08:00,02:00,2:30,2:25,2:20,2:15,2:10,2:05
08:04,02:01,2:31,2:26,2:21,2:16,2:11,2:06
08:08,02:02,2:32,2:27,2:22,2:17,2:12,2:07
08:12,02:03,2:34,2:29,2:24,2:18,2:13,2:08
08:16,02:04,2:35,2:30,2:25,2:20,2:14,2:09
08:20,02:05,2:36,2:31,2:26,2:21,2:15,2:10
08:24,02:06,2:38,2:32,2:27,2:22,2:16,2:11
08:28,02:07,2:39,2:33,2:28,2:23,2:18,2:12
08:32,02:08,2:40,2:35,2:29,2:24,2:19,2:13
08:36,02:09,2:41,2:36,2:31,2:25,2:20,2:14
08:40,02:10,2:42,2:37,2:32,2:26,2:21,2:15
08:44,02:11,2:44,2:38,2:33,2:27,2:22,2:17
08:48,02:12,2:45,2:39,2:34,2:29,2:23,2:18
08:52,02:13,2:46,2:41,2:35,2:30,2:24,2:19
08:56,02:14,2:48,2:42,2:36,2:31,2:25,2:20
09:00,02:15,2:49,2:43,2:38,2:32,2:26,2:21
09:04,02:16,2:50,2:44,2:39,2:33,2:27,2:22
09:08,02:17,2:51,2:45,2:40,2:34,2:28,2:23
09:12,02:18,2:53,2:47,2:41,2:35,2:29,2:24
09:16,02:19,2:54,2:48,2:42,2:36,2:31,2:25
09:20,02:20,2:55,2:49,2:43,2:38,2:32,2:26
09:24,02:21,2:56,2:50,2:45,2:39,2:33,2:27
09:28,02:22,2:58,2:52,2:46,2:40,2:34,2:28
09:32,02:23,2:59,2:53,2:47,2:41,2:35,2:29
09:36,02:24,3:00,2:54,2:48,2:42,2:36,2:30
09:40,02:25,3:01,2:55,2:49,2:43,2:37,2:31
09:44,02:26,3:03,2:56,2:50,2:44,2:38,2:32
09:48,02:27,3:04,2:58,2:52,2:45,2:39,2:33
09:52,02:28,3:05,2:59,2:53,2:46,2:40,2:34
09:56,02:29,3:06,3:00,2:54,2:48,2:41,2:35
10:00,02:30,3:08,3:01,2:55,2:49,2:42,2:36
