plan_code,block_code,workout_code,week_commencing,description,sort_order,level,interval_code,interval_order,repeat_count,work_kind,work_value,spm,recovery_kind,recovery_value,target_mode,target_value
P2026_2027,B1,W1S1,2026-10-04,Block Baseline 30R20 30' rowed at 20spm,1,L1,W1S1_1,1,1,time,1800,20,,,,
P2026_2027,B1,W1S2,2026-10-04,"3×10' @R18–20, 2' rest",2,L4,W1S2_1,1,1,time,120,18,,,L4,
P2026_2027,B1,W1S2,2026-10-04,"3×10' @R18–20, 2' rest",2,L4,W1S2_2,2,1,time,120,20,,,L4,
P2026_2027,B1,W1S2,2026-10-04,"3×10' @R18–20, 2' rest",2,L4,W1S2_3,3,1,time,120,18,,,L4,
P2026_2027,B1,W1S2,2026-10-04,"3×10' @R18–20, 2' rest",2,L4,W1S2_4,4,1,time,120,20,,,L4,
P2026_2027,B1,W1S2,2026-10-04,"3×10' @R18–20, 2' rest",2,L4,W1S2_5,5,1,time,120,18,time,120,L4,
P2026_2027,B1,W1S2,2026-10-04,"3×10' @R18–20, 2' rest",2,L4,W1S2_6,6,1,time,120,18,,,L4,
P2026_2027,B1,W1S2,2026-10-04,"3×10' @R18–20, 2' rest",2,L4,W1S2_7,7,1,time,120,20,,,L4,
P2026_2027,B1,W1S2,2026-10-04,"3×10' @R18–20, 2' rest",2,L4,W1S2_8,8,1,time,120,18,,,L4,
P2026_2027,B1,W1S2,2026-10-04,"3×10' @R18–20, 2' rest",2,L4,W1S2_9,9,1,time,120,20,,,L4,
P2026_2027,B1,W1S2,2026-10-04,"3×10' @R18–20, 2' rest",2,L4,W1S2_10,10,1,time,120,18,time,120,L4,
P2026_2027,B1,W1S2,2026-10-04,"3×10' @R18–20, 2' rest",2,L4,W1S2_11,11,1,time,120,18,,,L4,
P2026_2027,B1,W1S2,2026-10-04,"3×10' @R18–20, 2' rest",2,L4,W1S2_12,12,1,time,120,20,,,L4,
P2026_2027,B1,W1S2,2026-10-04,"3×10' @R18–20, 2' rest",2,L4,W1S2_13,13,1,time,120,18,,,L4,
P2026_2027,B1,W1S2,2026-10-04,"3×10' @R18–20, 2' rest",2,L4,W1S2_14,14,1,time,120,20,,,L4,
P2026_2027,B1,W1S2,2026-10-04,"3×10' @R18–20, 2' rest",2,L4,W1S2_15,15,1,time,120,18,time,120,L4,
